"STATION"	"NAME"	"LATITUDE"	"LONGITUDE"	"ELEVATION"	"DATE"	"AWND"	"DAPR"	"MDPR"	"PGTM"	"PRCP"	"SN52"	"SNOW"	"SNWD"	"SX52"	"TAVG"	"TMAX"	"TMIN"	"TOBS"	"WDF2"	"WDF5"	"WESD"	"WESF"	"WSF2"	"WSF5"	"WSFG"	"WT01"	"WT02"	"WT03"	"WT04"	"WT06"	"WT08"	"WT11"
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-21"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-22"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-23"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-24"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-25"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-26"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-27"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-28"					"0.01"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-29"					"0.02"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-09-30"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-01"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-02"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-03"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-04"					"0.00"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-05"					"0.04"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-06"					"0.29"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-07"					"0.27"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-08"					"0.36"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-09"					"0.04"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-10"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-11"					"0.93"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-12"					"0.59"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-13"					"0.06"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-14"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-15"					"0.80"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-16"					"0.03"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-17"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-18"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-19"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-20"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-21"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-22"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-23"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-24"					"0.73"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-25"					"0.23"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-26"					"0.00"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-27"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-28"					"0.31"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-29"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-30"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-10-31"					"0.02"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-01"					"0.00"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-02"					"0.44"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-03"					"0.34"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-04"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-05"					"0.50"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-06"					"0.20"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-07"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-08"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-09"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-10"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-11"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-12"					"0.01"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-13"					"0.24"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-14"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-15"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-16"					"0.30"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-17"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-18"					"0.69"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-19"					"0.90"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-20"					"0.00"		"0.0"	"0.0"								"0.0"	"0.0"										
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-21"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-22"					"0.05"																						
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-23"					"0.00"		"0.0"																				
"US1MIWS0042"	"ANN ARBOR 4.5 W	 MI US"	"42.2781"	"-83.8188"	"278.6"	"2017-11-24"					"0.00"		"0.0"																				
